JD,Mag,Error Mag,Band
2453112.799,10.586,0.005,V
2453112.8,10.586,0.005,V
2453112.801,10.586,0.005,V
2453112.802,10.59,0.005,V
2453112.803,10.595,0.005,V
2453112.804,10.605,0.005,V
2453112.805,10.615,0.005,V
2453112.806,10.604,0.005,V
2453112.807,10.622,0.005,V
2453112.808,10.62,0.005,V
2453112.809,10.621,0.005,V
2453112.81,10.629,0.005,V
2453112.811,10.633,0.005,V
2453112.812,10.632,0.005,V
2453112.813,10.628,0.005,V
2453112.814,10.635,0.005,V
2453112.815,10.641,0.005,V
2453112.816,10.632,0.005,V
2453112.817,10.641,0.005,V
2453112.818,10.66,0.005,V
2453112.819,10.64,0.005,V
2453112.82,10.642,0.005,V
2453112.821,10.645,0.005,V
2453112.822,10.725,0.005,V
2453112.823,10.835,0.006,V
2453112.824,10.964,0.006,V
2453112.825,11.09,0.006,V
2453112.826,11.241,0.007,V
2453112.827,11.354,0.007,V
2453112.827,11.4,0.007,V
2453112.828,11.323,0.007,V
2453112.829,11.205,0.007,V
2453112.83,11.056,0.006,V
2453112.831,10.926,0.006,V
2453112.832,10.811,0.006,V
2453112.833,10.705,0.006,V
2453112.834,10.665,0.006,V
2453112.835,10.639,0.006,V
2453112.836,10.634,0.006,V
2453112.837,10.649,0.006,V
2453112.838,10.643,0.006,V
2453112.839,10.64,0.006,V
2453112.84,10.635,0.006,V
2453112.841,10.627,0.006,V
2453112.842,10.644,0.006,V
2453112.843,10.631,0.006,V
2453112.844,10.653,0.006,V
2453112.845,10.633,0.006,V
2453112.846,10.616,0.006,V
2453112.847,10.627,0.006,V
2453112.848,10.624,0.006,V
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
